MATERIAL,125 Hz,250 Hz,500 Hz,1000 Hz,2000 Hz,4000 Hz
hard_surface,0.02,0.02,0.03,0.03,0.04,0.05
brickwork,0.01,0.02,0.02,0.03,0.03,0.04
rough_concrete,0.02,0.03,0.03,0.03,0.04,0.07
unpainted_concrete,0.01,0.01,0.02,0.02,0.02,0.05
rough_lime_wash,0.02,0.03,0.04,0.05,0.04,0.03
smooth_brickwork_flush_pointing,0.01,0.01,0.02,0.02,0.02,0.02
smooth_brickwork_10mm_pointing,0.08,0.09,0.12,0.16,0.22,0.24
brick_wall_rough,0.03,0.03,0.03,0.04,0.05,0.07
ceramic_tiles,0.01,0.01,0.01,0.02,0.02,0.02
limestone_wall,0.02,0.02,0.03,0.04,0.05,0.05
reverb_chamber,0.01,0.01,0.01,0.02,0.02,0.04
concrete_floor,0.01,0.03,0.05,0.02,0.02,0.02
marble_floor,0.01,0.01,0.01,0.02,0.02,0.02
glass_3mm,0.08,0.04,0.03,0.03,0.02,0.02
glass_window,0.1,0.05,0.04,0.03,0.03,0.03
lead_glazing,0.3,0.2,0.14,0.1,0.05,0.05
double_glazing_30mm,0.15,0.05,0.03,0.03,0.02,0.02
double_glazing_10mm,0.1,0.07,0.05,0.03,0.02,0.02
double_glazing_inside,0.15,0.3,0.18,0.1,0.05,0.05
wood_1.6cm,0.18,0.12,0.1,0.09,0.08,0.07
plywood_thin,0.42,0.21,0.1,0.08,0.06,0.06
wood_16mm,0.18,0.12,0.1,0.09,0.08,0.07
audience_floor,0.09,0.06,0.05,0.05,0.05,0.04
stage_floor,0.1,0.07,0.06,0.06,0.06,0.06
wooden_door,0.14,0.1,0.06,0.08,0.1,0.1
linoleum_on_concrete,0.02,0.03,0.03,0.03,0.03,0.02
carpet_cotton,0.07,0.31,0.49,0.81,0.66,0.54
carpet_tufted_9.5mm,0.1,0.4,0.62,0.7,0.63,0.88
carpet_thin,0.02,0.04,0.08,0.2,0.35,0.4
carpet_6mm_closed_cell_foam,0.03,0.09,0.25,0.31,0.33,0.44
carpet_6mm_open_cell_foam,0.03,0.09,0.2,0.54,0.7,0.72
carpet_tufted_9m,0.08,0.08,0.3,0.6,0.75,0.8
felt_5mm,0.02,0.02,0.05,0.15,0.3,0.4
carpet_soft_10mm,0.09,0.08,0.21,0.26,0.27,0.37
carpet_hairy,0.11,0.14,0.37,0.43,0.27,0.25
carpet_rubber_5mm,0.04,0.04,0.08,0.12,0.1,0.1
carpet_1.35_kg_m2,0.08,0.24,0.57,0.69,0.71,0.73
cocos_fibre_roll_29mm,0.1,0.13,0.22,0.35,0.47,0.57
curtains_cotton_0.5,0.3,0.45,0.65,0.56,0.59,0.71
curtains_0.2,0.05,0.06,0.39,0.63,0.7,0.73
curtains_cotton_0.33,0.03,0.12,0.15,0.27,0.37,0.42
curtains_densely_woven,0.06,0.1,0.38,0.63,0.7,0.73
blinds_half_open,0.03,0.09,0.24,0.46,0.79,0.76
blinds_open,0.03,0.06,0.13,0.28,0.49,0.56
curtains_velvet,0.05,0.12,0.35,0.45,0.38,0.36
curtains_fabric,0.1,0.38,0.63,0.52,0.55,0.65
curtains_fabric_folded,0.12,0.6,0.98,1,1,1
curtains_glass_mat,0.03,0.03,0.15,0.4,0.5,0.5
studio_curtains,0.36,0.26,0.51,0.45,0.62,0.76
panel_fabric_covered_6pcf,0.46,0.93,1,1,1,1
panel_fabric_covered_8pcf,0.21,0.66,1,1,0.97,0.98
facing_brick,0.04,0.14,0.49,0.35,0.31,0.36
acoustical_plaster_25mm,0.17,0.36,0.66,0.65,0.62,0.68
rockwool_50mm_80kgm3,0.22,0.6,0.92,0.9,0.88,0.88
rockwool_50mm_40kgm3,0.23,0.59,0.86,0.86,0.86,0.86
mineral_wool_50mm_40kgm3,0.15,0.7,0.6,0.6,0.85,0.9
mineral_wool_50mm_70kgm3,0.7,0.45,0.65,0.6,0.75,0.65
gypsum_board,0.3,0.69,1,0.81,0.66,0.62
perforated_veneered_chipboard,0.41,0.67,0.58,0.59,0.68,0.35
fibre_absorber_1,0.2,0.56,0.82,0.87,0.7,0.53
fibre_absorber_2,0.07,0.07,0.2,0.41,0.75,0.97
ceiling_plasterboard,0.2,0.15,0.1,0.08,0.04,0.02
ceiling_fibre_abosrber,0.48,0.97,1,0.97,1,1
ceiling_fissured_tile,0.49,0.53,0.53,0.75,0.92,0.99
ceiling_perforated_gypsum_board,0.45,0.55,0.6,0.9,0.86,0.75
ceiling_melamine_foam,0.12,0.33,0.83,0.97,0.98,0.95
ceiling_metal_panel,0.59,0.8,0.82,0.65,0.27,0.23
microperforated_foil_kaefer,0.06,0.28,0.7,0.68,0.74,0.53
microperforated_glass_sheets,0.1,0.45,0.85,0.3,0.1,0.05
hanging_absorber_panels_1,0.25,0.45,0.8,0.9,0.85,0.8
hanging_absorber_panels_2,0.2,0.3,0.6,0.75,0.7,0.7
